,Date,Open,High,Low,Close,Adj Close,Volume,RSI,RSI-status
24,2017-12-03,463.704987,482.813995,451.85199,465.852997,465.852997,990556992,68.52746059144005,Normal
25,2017-12-04,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016,69.33072339745678,Normal
26,2017-12-05,470.294006,473.558014,457.660004,463.281006,463.281006,1216720000,66.42569191109901,Normal
27,2017-12-06,462.604004,462.708008,420.209991,428.588013,428.588013,1998259968,54.17510850758791,Normal
28,2017-12-07,426.368988,441.397003,414.411011,434.40799,434.40799,2129570048,55.652692327267694,Normal
29,2017-12-08,434.989014,466.062012,422.367004,456.031006,456.031006,2336379904,60.720253938899376,Normal
30,2017-12-09,457.343994,504.147003,456.252991,473.502014,473.502014,2003849984,64.27263199244936,Normal
31,2017-12-10,472.789001,472.789001,429.514008,441.721008,441.721008,1404179968,54.599378531310684,Normal
32,2017-12-11,440.358002,516.968994,439.104004,515.135986,515.135986,1771440000,66.96720785347199,Normal
33,2017-12-12,522.286011,657.317993,504.493988,651.43103,651.43103,5179829760,78.61460764544206,Normal
34,2017-12-13,644.906006,747.992981,597.797974,702.767029,702.767029,4524539904,81.29052090318592,Normal
35,2017-12-14,700.593994,753.120972,664.989014,695.815979,695.815979,3821580032,79.83387136135703,Normal
36,2017-12-15,696.375977,697.132019,621.060974,684.447998,684.447998,2758710016,77.3914217917895,Normal
37,2017-12-16,686.192017,718.38501,680.786011,696.208984,696.208984,2165690112,78.13666811196481,Normal
38,2017-12-17,696.237,735.825012,696.237,719.974976,719.974976,2147389952,79.60003400660517,Normal
39,2017-12-18,721.731995,803.927979,689.231018,794.64502,794.64502,3249230080,83.3669336186813,Normal
40,2017-12-19,793.901001,881.94397,785.34198,826.822998,826.822998,4096549888,84.67978757320928,Normal
41,2017-12-20,827.515991,845.062012,756.004028,819.085999,819.085999,3969939968,82.98374939945678,Normal
42,2017-12-21,820.236023,880.54303,792.689026,821.062988,821.062988,3569060096,83.07702092413564,Normal
43,2017-12-22,822.643005,827.682983,543.762024,674.859985,674.859985,4977710080,57.83141715773894,Normal
44,2017-12-23,681.315979,763.89502,679.731018,719.387024,719.387024,2480339968,61.653361453783134,Normal
45,2017-12-24,721.768982,721.768982,614.921997,694.14801,694.14801,2300549888,58.42115750534476,Normal
46,2017-12-25,698.869995,782.520996,698.869995,765.833984,765.833984,2491760128,64.16720453436858,Normal
47,2017-12-26,763.369995,786.789978,760.934998,773.835999,773.835999,2201159936,64.75276492305457,Normal
48,2017-12-27,774.969971,789.252991,738.413025,762.84198,762.84198,2100029952,63.224089137222535,Normal
49,2017-12-28,762.208008,763.31897,701.187012,737.02301,737.02301,2389149952,59.66186681785727,Normal
50,2017-12-29,740.388977,770.117004,729.607971,753.59198,753.59198,2648969984,61.17370621223663,Normal
51,2017-12-30,753.815002,753.815002,685.231018,717.257019,717.257019,3187780096,56.199369539159264,Normal
52,2017-12-31,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952,60.00453647515183,Normal
53,2018-01-01,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128,61.45765063852704,Normal
54,2018-01-02,772.346008,914.830017,772.346008,884.44397,884.44397,5783349760,69.77037967857815,Normal
55,2018-01-03,886.0,974.471008,868.450989,962.719971,962.719971,5093159936,73.99863770117076,Normal
56,2018-01-04,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776,74.87856935549259,Normal
57,2018-01-05,975.75,1075.390015,956.325012,997.719971,997.719971,6683149824,75.69600280021717,Normal
58,2018-01-06,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776,77.73758379553897,Normal
59,2018-01-07,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064,81.89208906133834,Normal
60,2018-01-08,1158.26001,1266.930054,1016.049988,1148.530029,1148.530029,8450970112,81.21282315781673,Normal
61,2018-01-09,1146.0,1320.97998,1145.48999,1299.73999,1299.73999,7965459968,85.44871537631035,Normal
62,2018-01-10,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400,79.81935998470016,Normal
63,2018-01-11,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904,68.63373318347428,Normal
64,2018-01-12,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160,73.34872847122128,Normal
65,2018-01-13,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192,77.19500427437745,Normal
66,2018-01-14,1397.47998,1400.560059,1286.209961,1366.77002,1366.77002,4841630208,74.41212481644109,Normal
67,2018-01-15,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032,67.77018173935568,Normal
68,2018-01-16,1292.630005,1292.630005,875.544983,1053.689941,1053.689941,8405139968,51.8936588932308,Normal
69,2018-01-17,1061.339966,1090.22998,780.921997,1014.25,1014.25,8545160192,49.81307884612746,Normal
70,2018-01-18,1016.440002,1100.310059,967.758972,1036.280029,1036.280029,5938319872,50.994961521600146,Normal
71,2018-01-19,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048,51.153533893679,Normal
72,2018-01-20,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016,57.27996371522341,Normal
73,2018-01-21,1155.680054,1155.680054,1021.5,1049.579956,1049.579956,3378089984,51.01199548507991,Normal
74,2018-01-22,1055.349976,1089.099976,930.741028,1003.26001,1003.26001,3810099968,48.50407256892047,Normal
75,2018-01-23,1004.169983,1023.22998,920.539978,986.229004,986.229004,3556699904,47.577874547299444,Normal
76,2018-01-24,987.47699,1062.439941,965.807983,1058.780029,1058.780029,3944039936,51.80026354805776,Normal
77,2018-01-25,1063.219971,1104.660034,1034.73999,1056.030029,1056.030029,4050190080,51.630508053806146,Normal
78,2018-01-26,1052.699951,1080.599976,996.783997,1055.170044,1055.170044,3617690112,51.57358842149428,Normal
79,2018-01-27,1055.75,1121.97998,1042.119995,1107.069946,1107.069946,3002870016,54.81135371642958,Normal
80,2018-01-28,1111.780029,1257.77002,1111.780029,1246.01001,1246.01001,5372329984,62.11410156791571,Normal
81,2018-01-29,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936,57.52752711799657,Normal
82,2018-01-30,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968,50.50858862693197,Normal
83,2018-01-31,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064,53.12130633990449,Normal
84,2018-02-01,1119.369995,1161.349976,984.81897,1036.790039,1036.790039,5261680128,48.369838289547985,Normal
85,2018-02-02,1035.77002,1035.77002,757.97998,915.784973,915.784973,6713290240,42.31896494423163,Normal
86,2018-02-03,919.210999,991.942993,847.690002,964.018982,964.018982,3243480064,45.25860256997748,Normal
87,2018-02-04,964.666992,969.031982,805.064026,834.682007,834.682007,2997090048,39.45244639428506,Normal
88,2018-02-05,834.958008,856.645996,644.598999,697.950989,697.950989,4269530112,34.42456458277252,Normal
89,2018-02-06,707.737,796.439026,574.419006,793.122009,793.122009,6518269952,40.14265395687427,Normal
90,2018-02-07,790.427979,851.200012,723.432983,757.067993,757.067993,3896179968,38.76364229137915,Normal
91,2018-02-08,755.843018,845.085999,755.843018,817.807007,817.807007,3708189952,42.356273833852114,Normal
92,2018-02-09,818.47998,884.004028,788.833984,883.86499,883.86499,2495820032,46.062535751394506,Normal
93,2018-02-10,882.46698,917.400024,825.577026,860.414978,860.414978,2930530048,44.95746938316108,Normal
94,2018-02-11,859.288025,859.288025,788.221985,814.659973,814.659973,2486650112,42.79990603344428,Normal
95,2018-02-12,817.507996,875.937012,817.507996,868.70697,868.70697,2243450112,46.091002407457914,Normal
96,2018-02-13,869.29303,870.708984,828.836975,845.257996,845.257996,2081170048,44.88436738538329,Normal
97,2018-02-14,844.278992,926.429016,844.278992,923.560974,923.560974,2818370048,49.62677267925157,Normal
98,2018-02-15,923.728027,951.947998,911.111023,936.976013,936.976013,2900100096,50.41396633388091,Normal
99,2018-02-16,934.786011,950.005005,917.848022,944.210022,944.210022,2369449984,50.859919712680814,Normal
100,2018-02-17,944.747986,976.594971,940.754028,974.11499,974.11499,2525720064,52.751677215382315,Normal
101,2018-02-18,973.348999,982.932983,915.445007,923.921021,923.921021,2567290112,49.31971098581998,Normal
102,2018-02-19,921.66803,957.776978,921.554016,943.86499,943.86499,2169019904,50.69237901329388,Normal
103,2018-02-20,943.567017,965.265015,892.953979,895.370972,895.370972,2545260032,47.33521866365364,Normal
104,2018-02-21,894.13501,912.375,830.562988,849.971008,849.971008,2531729920,44.37246854246571,Normal
105,2018-02-22,849.262024,875.926025,802.66803,812.844971,812.844971,2150370048,42.05438192650995,Normal
106,2018-02-23,811.585022,886.317993,794.791016,864.189026,864.189026,2334820096,46.237425440291005,Normal
107,2018-02-24,861.593018,879.531006,818.549988,840.515015,840.515015,1926579968,44.637363904431766,Normal
108,2018-02-25,839.458984,853.145996,822.380981,844.809998,844.809998,1646960000,45.009162430071285,Normal
109,2018-02-26,845.278015,880.392029,842.31897,869.315002,869.315002,2044480000,47.188369457228426,Normal
110,2018-02-27,870.36499,896.258972,867.096985,878.265015,878.265015,2053980032,47.99890895631774,Normal
111,2018-02-28,877.934021,890.107971,855.124023,855.198975,855.198975,1963980032,46.03783679630784,Normal
112,2018-03-01,856.012024,880.302002,851.919983,872.200012,872.200012,1868519936,47.732868893565694,Normal
113,2018-03-02,871.763977,876.377991,852.421997,856.853027,856.853027,1894419968,46.31845984865297,Normal
114,2018-03-03,856.710999,868.453979,855.20697,857.224976,857.224976,1699369984,46.35994490771321,Normal
115,2018-03-04,856.185974,867.950012,840.280029,866.677979,866.677979,1697939968,47.4710034269307,Normal
116,2018-03-05,866.846008,869.919983,853.52002,853.684021,853.684021,1898489984,46.05873872069213,Normal
117,2018-03-06,853.817017,853.817017,809.93103,816.950989,816.950989,1943069952,42.233611237721355,Normal
118,2018-03-07,816.270996,825.606995,726.546997,752.830994,752.830994,2175419904,36.53051098506185,Normal
119,2018-03-08,752.570007,773.767029,696.169006,704.596008,704.596008,1891640064,32.92825280840245,Normal
120,2018-03-09,702.197021,729.156006,648.106995,728.916016,728.916016,2233019904,36.33698238569747,Normal
121,2018-03-10,730.159973,748.031006,682.695007,686.890015,686.890015,1532960000,33.19724047534022,Normal
122,2018-03-11,685.312012,735.830994,668.122986,723.338989,723.338989,1562680064,38.185907466908375,Normal
123,2018-03-12,724.406006,742.513977,683.268005,699.830994,699.830994,1764999936,36.302923273169455,Normal
124,2018-03-13,698.153015,713.734985,682.349976,690.827026,690.827026,1425959936,35.57924861065101,Normal
125,2018-03-14,691.218994,702.783997,594.099976,614.291016,614.291016,1810560000,30.088635733439176,Normal
126,2018-03-15,614.838989,620.616028,579.505005,611.304016,611.304016,1770460032,29.89473792919253,Normal
127,2018-03-16,611.778015,623.16803,587.862,601.666016,601.666016,1417350016,29.23997545532633,Normal
128,2018-03-17,601.677979,609.151001,549.096008,552.778992,552.778992,1267810048,26.11548959112858,Normal
129,2018-03-18,551.640015,551.640015,460.088013,538.643982,538.643982,2685499904,25.274536139761793,Normal
130,2018-03-19,546.625977,558.099976,519.122986,556.726013,556.726013,2046790016,28.448684213005293,Normal
131,2018-03-20,556.721985,567.090027,521.203979,557.174988,557.174988,1833680000,28.529863047237697,Normal
132,2018-03-21,559.099976,589.606995,550.572021,561.731995,561.731995,1781270016,29.405329126294404,Normal
133,2018-03-22,562.103027,577.565979,523.088989,539.702026,539.702026,1523459968,27.642497391414253,Normal
134,2018-03-23,539.864014,540.487,512.127014,539.619019,539.619019,1596349952,27.635774718607166,Normal
135,2018-03-24,542.572021,545.382019,526.080017,526.439026,526.439026,1300009984,26.53239183002951,Normal
136,2018-03-25,522.703003,535.820984,515.658997,524.286987,524.286987,1151170048,26.34741714793178,Normal
137,2018-03-26,524.286987,526.379028,470.440002,489.950989,489.950989,1638880000,23.52889391080633,Normal
138,2018-03-27,489.589996,491.459015,449.971008,450.115997,450.115997,1617939968,20.754908695671062,Normal
139,2018-03-28,450.290985,466.210999,444.860992,446.278992,446.278992,1514179968,20.504149593389897,Normal
140,2018-03-29,448.075012,450.812988,385.812988,385.967987,385.967987,1970230016,17.022745942420173,Normal
141,2018-03-30,385.904999,409.928986,368.632996,394.644989,394.644989,1878130048,19.149671181059716,Normal
142,2018-03-31,395.003998,418.467987,392.953003,396.457001,396.457001,1323920000,19.613069726106858,Normal
143,2018-04-01,397.253998,400.528015,363.804993,379.606995,379.606995,1256930048,18.548427595717172,Normal
144,2018-04-02,379.699005,395.17099,377.592987,386.424988,386.424988,1102259968,20.43054044117339,Normal
145,2018-04-03,387.312012,418.967987,383.532013,416.893005,416.893005,1363399936,28.393441329457275,Normal
146,2018-04-04,416.484985,417.471985,375.309998,380.542999,380.542999,1287730048,25.158577758081734,Normal
147,2018-04-05,379.946991,387.716003,369.81601,383.231995,383.231995,1210680064,25.831750186408968,Normal
148,2018-04-06,382.730988,385.195007,366.911011,370.285004,370.285004,967105984,24.680672461519336,Normal
149,2018-04-07,370.380005,393.05899,369.936005,385.313995,385.313995,951475008,28.65496849599556,Normal
150,2018-04-08,385.743011,402.589996,385.60199,400.507996,400.507996,948488000,32.5309811287932,Normal
151,2018-04-09,400.856995,429.251007,390.609985,398.526001,398.526001,1478390016,32.284586202105174,Normal
152,2018-04-10,399.411011,415.888,393.878998,414.243011,414.243011,1196000000,36.39848958108167,Normal
153,2018-04-11,415.023987,430.540009,412.471008,430.540009,430.540009,1439040000,40.4391277858126,Normal
154,2018-04-12,430.161011,493.058014,417.412994,492.94101,492.94101,2519360000,52.80324929025356,Normal
155,2018-04-13,493.160004,526.469971,482.658997,492.734985,492.734985,2419249920,52.764303952147976,Normal
156,2018-04-14,492.579987,512.023987,488.278992,501.477997,501.477997,1519079936,54.30456208018863,Normal
157,2018-04-15,502.880005,531.702026,502.880005,531.702026,531.702026,1726089984,59.25123918186562,Normal
158,2018-04-16,532.073975,534.197021,500.25,511.147003,511.147003,1758979968,54.898603584337515,Normal
159,2018-04-17,511.144989,518.031006,502.563995,502.894012,502.894012,1760359936,53.20849753753787,Normal
160,2018-04-18,503.30899,525.09198,503.045013,524.789001,524.789001,1762940032,56.991406910301286,Normal
161,2018-04-19,524.038025,567.888977,523.262024,567.888977,567.888977,2256869888,63.284020273894754,Normal
162,2018-04-20,567.989014,618.715027,560.28302,615.718018,615.718018,2849469952,68.74846989160059,Normal
163,2018-04-21,616.004028,621.888,578.549988,605.39502,605.39502,2612460032,66.44976301700615,Normal
164,2018-04-22,606.119019,640.767029,593.869019,621.859985,621.859985,2426269952,68.27199226362856,Normal
165,2018-04-23,621.198975,646.700012,621.034973,642.547974,642.547974,2386830080,70.44415774874207,Normal
166,2018-04-24,643.39801,708.875,643.39801,708.15802,708.15802,3581860096,76.04531033435481,Normal
167,2018-04-25,707.062012,707.062012,600.211975,615.416016,615.416016,4216140032,59.01911614451862,Normal
168,2018-04-26,618.078979,663.18103,604.007019,662.809021,662.809021,2984009984,63.514694638769676,Normal
169,2018-04-27,662.109009,684.867981,647.031982,647.031982,647.031982,2598129920,61.11131791966007,Normal
170,2018-04-28,644.645996,691.442017,644.645996,683.677979,683.677979,2496659968,64.47395659409305,Normal
171,2018-04-29,683.911987,697.755981,670.513,688.880981,688.880981,2740559872,64.93752273747285,Normal
172,2018-04-30,689.760986,694.439026,666.117004,669.924011,669.924011,2853100032,61.77469810413549,Normal
173,2018-05-01,670.463013,674.403015,637.539978,673.612976,673.612976,2678960128,62.16092296516439,Normal
174,2018-05-02,674.075012,688.84198,667.419983,687.148987,687.148987,2822269952,63.61369703621162,Normal
175,2018-05-03,686.591003,784.341003,686.591003,779.54303,779.54303,4210939904,71.6225291219917,Normal
176,2018-05-04,776.775024,803.745972,762.632019,785.624023,785.624023,3533410048,72.05843942187579,Normal
177,2018-05-05,784.583008,827.455017,784.237,816.119995,816.119995,3035040000,74.19893227912058,Normal
178,2018-05-06,816.088013,835.057007,764.882996,792.310974,792.310974,3105570048,69.70903955309154,Normal
179,2018-05-07,793.338989,795.757996,710.177979,753.724976,753.724976,4316120064,63.05021234641577,Normal
180,2018-05-08,755.008972,774.249023,728.129028,752.856995,752.856995,2920489984,62.90464748753021,Normal
181,2018-05-09,752.901978,759.528992,718.471985,752.275024,752.275024,2877870080,62.79995749984725,Normal
182,2018-05-10,752.578979,766.747986,726.664001,727.276978,727.276978,2748950016,58.31083862945285,Normal
183,2018-05-11,727.013,736.97699,669.825012,679.585999,679.585999,3290080000,50.84370678781346,Normal
184,2018-05-12,679.877014,691.411011,644.065979,686.047974,686.047974,2668480000,51.74539627145704,Normal
185,2018-05-13,687.174988,741.312012,675.31897,733.495972,733.495972,2362500096,57.858050173519125,Normal
186,2018-05-14,732.732971,742.169983,695.791992,730.549011,730.549011,3005110016,57.37194326571858,Normal
187,2018-05-15,731.143005,739.052002,700.994995,708.870972,708.870972,2523069952,53.791692114245016,Normal
188,2018-05-16,708.086975,710.200012,682.541016,707.049988,707.049988,2476130048,53.489728132534175,Normal
189,2018-05-17,708.718018,718.833008,668.833984,672.656982,672.656982,2350619904,48.0081727900916,Normal
190,2018-05-18,672.10199,695.031006,663.809021,694.367004,694.367004,2305740032,51.39424282854201,Normal
191,2018-05-19,695.072021,715.578003,686.791016,696.530029,696.530029,2021549952,51.731538117191214,Normal
192,2018-05-20,697.922974,723.752991,692.669006,715.369019,715.369019,2156910080,54.681260501624116,Normal
193,2018-05-21,717.192993,719.278015,692.494019,699.221985,699.221985,2005170048,51.76151822828408,Normal
194,2018-05-22,700.177979,700.976013,644.026001,647.741028,647.741028,2230469888,43.74207969113932,Normal
195,2018-05-23,646.669983,651.635986,572.952026,583.585022,583.585022,2995429888,36.21249824618282,Normal
196,2018-05-24,584.536011,610.817993,557.205994,601.755005,601.755005,2791099904,39.39439500164639,Normal
197,2018-05-25,602.140015,617.185974,575.624023,586.734009,586.734009,2110919936,37.71928683398844,Normal
198,2018-05-26,587.426025,606.174988,583.512024,587.280029,587.280029,1694300032,37.822785365418895,Normal
199,2018-05-27,588.52002,590.328003,562.866028,572.66803,572.66803,1788790016,36.09415075152854,Normal
200,2018-05-28,573.044983,576.049011,512.552002,516.036011,516.036011,2356900096,30.311866125112417,Normal
201,2018-05-29,516.14801,572.263977,516.14801,565.388,565.388,2330820096,39.41981404307549,Normal
202,2018-05-30,566.830017,583.135986,545.43103,559.590027,559.590027,2053970048,38.77858980991786,Normal
203,2018-05-31,558.497009,585.538025,557.065979,577.64502,577.64502,1985040000,41.945509102290124,Normal
204,2018-06-01,578.671997,589.093018,567.664978,580.04303,580.04303,1945890048,42.371898432366784,Normal
205,2018-06-02,580.429016,597.077026,577.322021,591.807983,591.807983,1880390016,44.52465254978584,Normal
206,2018-06-03,591.258972,624.513,591.258972,618.328979,618.328979,1832550016,49.13723749074993,Normal
207,2018-06-04,619.437012,623.429016,583.747009,592.984985,592.984985,1903430016,45.26405701945493,Normal
208,2018-06-05,593.406006,611.330017,580.981995,609.302979,609.302979,1844269952,48.10063939134111,Normal
209,2018-06-06,610.262024,611.643005,596.395996,607.124023,607.124023,1756530048,47.744831533287915,Normal
210,2018-06-07,607.687012,616.143982,601.692993,605.187012,605.187012,1880140032,47.409098025133915,Normal
211,2018-06-08,605.442993,608.810974,595.593018,601.077026,601.077026,1637779968,46.65937613770491,Normal
212,2018-06-09,600.905029,608.583008,597.562012,597.562012,597.562012,1519309952,45.98953940919184,Normal
213,2018-06-10,594.344971,594.344971,511.889008,526.479004,526.479004,2234880000,35.03574072663028,Normal
214,2018-06-11,524.856995,536.857971,515.268982,533.283997,533.283997,1982119936,36.59274993834465,Normal
215,2018-06-12,532.710022,538.955017,491.234985,496.842987,496.842987,1932760064,32.149162226348125,Normal
216,2018-06-13,498.018005,501.904999,459.003998,477.493988,477.493988,2080130048,30.06176112201372,Normal
217,2018-06-14,478.381012,523.544983,467.466003,519.742004,519.742004,2458650112,39.32528997130067,Normal
218,2018-06-15,520.47998,521.304993,487.468994,491.003998,491.003998,1808269952,35.847118319576126,Normal
219,2018-06-16,490.414001,503.222992,488.851013,499.641998,499.641998,1314109952,37.63269021100349,Normal
220,2018-06-17,499.459991,507.640991,498.64801,500.447998,500.447998,1264870016,37.80663513150906,Normal
221,2018-06-18,499.382996,521.796021,494.06601,518.890991,518.890991,1513869952,41.80619788967192,Normal
222,2018-06-19,519.02301,542.353027,516.312012,537.95697,537.95697,1726569984,45.69420482650293,Normal
223,2018-06-20,538.505981,541.015015,519.369019,536.268005,536.268005,1596290048,45.404804953932775,Normal
224,2018-06-21,536.447021,543.71698,524.258972,527.367004,527.367004,1462070016,43.829353030388006,Normal
225,2018-06-22,527.19397,527.19397,456.877014,465.816986,465.816986,2226030080,34.82967816696471,Normal
226,2018-06-23,466.273987,479.128998,462.393005,474.519989,474.519989,1651379968,36.80558335340936,Normal
227,2018-06-24,474.768005,475.359009,426.468994,457.671997,457.671997,2490579968,34.61744421489274,Normal
228,2018-06-25,455.936005,470.343994,448.895996,460.309998,460.309998,4007950080,35.26638131779909,Normal
229,2018-06-26,460.733002,461.213013,432.772003,432.772003,432.772003,1356560000,31.726381064619275,Normal
230,2018-06-27,432.243988,444.243011,424.838989,442.36499,442.36499,1368940032,34.204074756452556,Normal
231,2018-06-28,442.290009,443.618011,419.683014,422.36499,422.36499,1360790016,31.627074092741722,Normal
232,2018-06-29,422.587006,441.792999,407.946991,436.009003,436.009003,1564499968,35.213156902410276,Normal
233,2018-06-30,436.209015,458.796997,436.209015,455.179993,455.179993,1475939968,39.976832292499424,Normal
234,2018-07-01,455.242004,457.139008,446.38501,453.917999,453.917999,1511730048,39.76953041412856,Normal
235,2018-07-02,453.824005,479.130005,447.110992,475.346985,475.346985,1625789952,44.98622399951358,Normal
236,2018-07-03,475.385986,483.854004,462.582001,464.195007,464.195007,1683939968,42.90361412506447,Normal
237,2018-07-04,464.151001,481.436005,455.184998,467.317993,467.317993,1549769984,43.68978755918945,Normal
238,2018-07-05,467.286987,483.225006,464.628998,474.411987,474.411987,1828610048,45.52469793065188,Normal
239,2018-07-06,474.356995,479.652008,457.61499,474.011993,474.011993,1627609984,45.43479711621327,Normal
240,2018-07-07,474.057007,491.660004,466.835999,491.660004,491.660004,1358360064,50.11548103129392,Normal
241,2018-07-08,492.067993,503.199005,488.416992,489.118988,489.118988,1344560000,49.457636579429824,Normal
242,2018-07-09,488.877991,490.85199,475.174988,476.682007,476.682007,1533799936,46.25710569044053,Normal
243,2018-07-10,476.161987,478.317993,433.959991,434.424011,434.424011,1789069952,37.400873083453234,Normal
244,2018-07-11,434.515015,447.31601,429.506989,446.518005,446.518005,1422470016,40.888940250549695,Normal
245,2018-07-12,446.502014,446.502014,422.809998,430.074005,430.074005,1495440000,37.80445992817115,Normal
246,2018-07-13,430.740997,442.363007,430.740997,434.027008,434.027008,1489670016,38.99581209361983,Normal
247,2018-07-14,434.510986,439.43399,431.473999,436.085999,436.085999,1235820032,39.64431375812722,Normal
248,2018-07-15,435.882996,454.001007,433.92099,449.850006,449.850006,1350160000,43.93492321989833,Normal
249,2018-07-16,450.424988,480.65799,446.798004,480.65799,480.65799,1858680064,52.13667687315555,Normal
250,2018-07-17,480.076996,508.779999,468.915009,501.002014,501.002014,2288100096,56.646850072797385,Normal
251,2018-07-18,500.838013,513.432983,474.359009,480.513,480.513,2371559936,51.394256010478536,Normal
252,2018-07-19,480.627991,483.23999,465.141998,469.618988,469.618988,2068739968,48.803080771374816,Normal
253,2018-07-20,469.307007,469.307007,443.692993,450.697998,450.697998,1821350016,44.59743427215107,Normal
254,2018-07-21,450.678986,468.083008,445.776001,462.436005,462.436005,1504310016,47.613495408280826,Normal
255,2018-07-22,462.437988,470.89801,458.118988,459.657013,459.657013,1338589952,46.96166981390402,Normal
256,2018-07-23,459.438995,469.765991,449.727997,450.852997,450.852997,1596999936,44.86611963710797,Normal
257,2018-07-24,451.135986,481.141998,450.565002,479.372986,479.372986,2287520000,52.29275476108957,Normal
258,2018-07-25,479.906006,482.868011,466.473999,472.493011,472.493011,1930780032,50.52468525361798,Normal
259,2018-07-26,472.330994,483.696014,461.424011,464.036987,464.036987,1621560064,48.360413224643,Normal
260,2018-07-27,464.009003,473.221985,458.290985,469.665985,469.665985,1734259968,49.89893881899285,Normal
261,2018-07-28,469.678009,471.593994,462.989014,466.89801,466.89801,1531890048,49.12388752142619,Normal
262,2018-07-29,466.915009,470.355988,462.712006,466.665009,466.665009,1631910016,49.0548156709642,Normal
263,2018-07-30,466.826996,467.951996,448.640991,457.080994,457.080994,2141590000,46.178587156894906,Normal
264,2018-07-31,457.244995,457.244995,430.444,433.867004,433.867004,1820680000,40.052803548395616,Normal
265,2018-08-01,433.868988,435.457001,410.463989,420.747009,420.747009,1888060000,37.06053062327535,Normal
266,2018-08-02,420.806,425.033997,410.30899,412.621002,412.621002,1569300000,35.301437314335814,Normal
267,2018-08-03,412.566986,420.549011,399.910004,418.261993,418.261993,1722340000,37.518567129210496,Normal
268,2018-08-04,418.237,420.186005,403.776001,407.252014,407.252014,1466540000,34.99769022468013,Normal
269,2018-08-05,407.346008,413.716003,402.432007,410.515991,410.515991,1396820000,36.362782041702594,Normal
270,2018-08-06,410.566986,414.540009,403.315002,406.65799,406.65799,1384880000,35.4160371547278,Normal
271,2018-08-07,406.800995,411.404999,376.076996,380.214996,380.214996,1828350000,29.706947444417892,Normal
272,2018-08-08,379.891998,380.67099,353.734009,356.613007,356.613007,2016080000,25.72143032744657,Normal
